Date,Open,High,Low,Close,Adj Close,Volume
22-Aug-24,275.24,278.5,267.23,267.64,267.64,"4,420,700"
21-Aug-24,267.01,274.42,265.64,273.21,273.21,"5,258,400"
20-Aug-24,269.36,270.12,264.39,266.53,266.53,"3,876,500"
19-Aug-24,264,270.98,262.6,266.78,266.78,"5,466,600"
16-Aug-24,260.44,262.64,257.85,262.54,262.54,"3,495,600"
15-Aug-24,260.25,263.65,257.52,260.49,260.49,"5,898,100"
14-Aug-24,250,258.96,249.26,256.22,256.22,"5,713,900"
13-Aug-24,242,248.97,240.01,248.11,248.11,"5,126,800"
12-Aug-24,242,242.87,235.6,239.34,239.34,"3,729,400"
9-Aug-24,242.18,246.01,238.8,240.9,240.9,"5,938,900"
8-Aug-24,233.88,242.04,229.72,240.52,240.52,"6,675,000"
7-Aug-24,238.37,243.5,230.1,230.67,230.67,"9,349,000"
6-Aug-24,230.19,235.24,221.56,231.69,231.69,"10,613,400"
5-Aug-24,201.54,224.12,200.81,222.05,222.05,"10,942,200"
2-Aug-24,217.15,221.48,211.14,217.89,217.89,"8,978,100"
1-Aug-24,232,232.2,221.66,224.22,224.22,"9,914,200"
31-Jul-24,234.67,236.91,228.21,231.96,231.96,"11,980,400"
30-Jul-24,247.55,248.33,226.22,233.65,233.65,"25,824,900"
29-Jul-24,259.51,265.5,257.45,258.81,258.81,"11,792,200"
26-Jul-24,259.95,260.54,251.26,256.16,256.16,"9,584,400"
25-Jul-24,258.39,262.79,250.22,254.15,254.15,"10,511,400"
24-Jul-24,270,275.44,257.36,258.14,258.14,"14,736,300"
23-Jul-24,269.02,277,258.77,268.88,268.88,"33,583,100"
22-Jul-24,285.01,285.01,261.59,263.91,263.91,"49,567,500"
19-Jul-24,294.51,316.75,290.1,304.96,304.96,"42,145,700"
18-Jul-24,351.74,352.2,336.34,343.05,343.05,"4,552,800"
17-Jul-24,360,363.6,350.72,354.94,354.94,"3,498,700"
16-Jul-24,378.24,379.33,368.5,369.05,369.05,"2,606,300"
15-Jul-24,371.67,383.57,364.21,377.37,377.37,"3,522,400"
12-Jul-24,368.2,374.49,367.76,371.32,371.32,"2,609,700"
11-Jul-24,375.69,379.78,367.5,370.43,370.43,"3,125,500"
10-Jul-24,385,385.02,365.59,374.45,374.45,"5,826,700"
9-Jul-24,392.51,398.33,383.2,385.88,385.88,"2,967,600"
8-Jul-24,390.37,397.12,379.79,390.71,390.71,"2,976,500"
5-Jul-24,387.87,391.46,385.31,389.68,389.68,"1,909,000"
3-Jul-24,384.25,390.08,382.38,387.18,387.18,"1,456,800"
2-Jul-24,382.27,387.17,381.47,385.05,385.05,"3,242,700"
1-Jul-24,385.28,392.74,377.92,392.15,392.15,"2,880,200"
28-Jun-24,389.33,393.29,381.78,383.19,383.19,"8,480,500"
27-Jun-24,381,391.54,379.94,387.29,387.29,"3,666,300"
26-Jun-24,385.59,387.51,379.75,380.37,380.37,"2,952,100"
25-Jun-24,379.75,387.81,379.55,386.76,386.76,"3,203,100"
24-Jun-24,375.1,381.76,374,377.93,377.93,"5,400,900"
21-Jun-24,380.63,381,370.7,380.63,380.63,"54,077,400"
20-Jun-24,390.26,393.25,379.2,382.14,382.14,"5,848,000"
18-Jun-24,390,393.29,386.66,389.51,389.51,"4,092,800"
17-Jun-24,382.75,394.64,376.55,390.43,390.43,"4,853,100"
14-Jun-24,382,388.35,381.15,385.43,385.43,"3,415,000"
13-Jun-24,387.85,389.89,380.94,382.81,382.81,"3,969,500"
12-Jun-24,390.25,390.7,378.87,387.37,387.37,"5,827,800"
11-Jun-24,372.86,385,370.14,384.63,384.63,"7,011,700"
10-Jun-24,367.1,384.98,367.1,374.57,374.57,"15,610,500"
7-Jun-24,343,349.92,337.13,349.12,349.12,"5,096,800"
6-Jun-24,342.93,349.34,336.19,340.49,340.49,"4,683,500"
5-Jun-24,334.61,342.59,316.39,342.18,342.18,"16,035,600"
4-Jun-24,310,312.38,303.51,305.58,305.58,"8,475,400"
3-Jun-24,319.37,319.48,305.11,308.69,308.69,"4,364,700"
31-May-24,329.76,329.77,306.5,313.67,313.67,"5,401,800"
30-May-24,346.15,346.63,314.13,315.92,315.92,"6,159,400"
29-May-24,342.01,353.54,341.96,349.52,349.52,"2,638,900"
28-May-24,358.64,358.84,343.11,346.82,346.82,"3,235,300"
24-May-24,342.67,355.75,340.81,351.47,351.47,"2,667,800"
23-May-24,350,350.41,341.27,342.35,342.35,"1,836,000"
22-May-24,350,352.94,342.86,345.42,345.42,"1,907,500"
21-May-24,343.05,351.65,340.52,349.32,349.32,"2,099,300"
20-May-24,346,349.59,344.65,348.75,348.75,"2,175,000"
17-May-24,340,346.28,338.71,345.93,345.93,"2,044,900"
16-May-24,343,344.08,338.83,339.06,339.06,"2,074,700"
15-May-24,333.21,344.37,330.93,343.12,343.12,"3,143,200"
14-May-24,319.19,330.79,319.18,329.55,329.55,"2,948,700"
13-May-24,325,325,316.63,319.18,319.18,"1,894,400"
10-May-24,320,327.5,318.39,320.76,320.76,"2,657,400"
9-May-24,313.03,318.25,309.38,317.94,317.94,"2,158,400"
8-May-24,311.88,319.23,308.57,313.76,313.76,"2,073,100"
7-May-24,315.71,321.52,311.65,312.55,312.55,"3,199,000"
6-May-24,307.38,317.9,304.3,317.81,317.81,"2,903,500"
3-May-24,304.76,311.55,300,310.21,310.21,"4,080,800"
2-May-24,303.76,307.94,298.04,303.54,303.54,"3,920,500"
1-May-24,290.44,302.5,288.55,295.44,295.44,"2,090,800"
30-Apr-24,302,303.07,292.33,292.54,292.54,"1,930,200"
29-Apr-24,312.57,313.86,302.05,304.04,304.04,"1,899,600"
26-Apr-24,300.34,305.78,298.27,304.07,304.07,"2,007,800"
25-Apr-24,289.56,299.85,287.91,298.02,298.02,"2,022,100"
24-Apr-24,303.6,304.82,294.74,297.62,297.62,"1,656,200"
23-Apr-24,292.21,302.81,292.17,299.65,299.65,"2,593,000"
22-Apr-24,285.74,291.29,281.4,289.15,289.15,"2,483,400"
19-Apr-24,291.95,292.73,280.88,282.64,282.64,"3,110,200"
18-Apr-24,293,297.5,290.18,294.1,294.1,"2,100,000"
17-Apr-24,304,304.8,291.71,293.69,293.69,"2,290,300"
16-Apr-24,297.55,301.65,296.8,299.15,299.15,"1,828,300"
15-Apr-24,310.03,312,298.39,299.5,299.5,"2,571,600"
12-Apr-24,313.89,314.87,307,309.05,309.05,"2,170,100"
11-Apr-24,313.54,317.9,310.14,317.8,317.8,"1,869,000"
10-Apr-24,305.99,315.08,305.34,312.53,312.53,"1,939,000"
9-Apr-24,314.99,316,308.63,310.77,310.77,"1,864,700"
8-Apr-24,316.18,316.64,309.5,313.73,313.73,"1,457,300"
5-Apr-24,309.72,317.5,309.33,315.5,315.5,"1,768,200"
4-Apr-24,324.3,325.99,308.88,309.19,309.19,"2,667,000"
3-Apr-24,316.57,323.55,314.48,320.04,320.04,"2,013,400"
2-Apr-24,312.92,319.71,310.96,319.55,319.55,"2,125,300"
1-Apr-24,321,321.99,313.72,319.59,319.59,"1,830,900"
28-Mar-24,322.42,327.65,319.94,320.59,320.59,"2,253,100"
27-Mar-24,333.34,333.84,317.56,322.25,322.25,"3,175,600"
26-Mar-24,326,332.5,323.86,330.01,330.01,"2,417,700"
25-Mar-24,326,329.25,321,324.76,324.76,"1,695,200"
22-Mar-24,327.73,328.39,319.55,327.58,327.58,"2,599,700"
21-Mar-24,325.89,333.23,322.05,329.46,329.46,"3,253,400"
20-Mar-24,321,328.47,318.06,326.87,326.87,"2,528,800"
19-Mar-24,318.15,321.48,310.22,320.86,320.86,"2,933,600"
18-Mar-24,319.03,322.37,315.9,321.06,321.06,"2,736,600"
15-Mar-24,325.58,327.39,315.6,315.65,315.65,"4,478,500"
14-Mar-24,333,337.78,325.48,328.59,328.59,"2,776,800"
13-Mar-24,329.73,334.83,325.5,332.17,332.17,"2,730,900"
12-Mar-24,318.61,333.81,317.37,329.27,329.27,"4,156,500"
11-Mar-24,319.15,323.5,316,317.37,317.37,"3,292,000"
8-Mar-24,331,341.74,322.41,322.85,322.85,"6,013,600"
7-Mar-24,329.75,331.85,315.21,329.68,329.68,"9,729,500"
6-Mar-24,360.05,365,324.01,329.57,329.57,"23,050,900"
5-Mar-24,307.53,308.5,289.8,297.56,297.56,"13,249,300"
4-Mar-24,317.33,317.99,311.29,313.81,313.81,"4,796,600"
1-Mar-24,319.25,319.72,309.12,314.6,314.6,"5,829,300"
29-Feb-24,324.91,328.98,321.07,324.15,324.15,"3,812,100"
28-Feb-24,318.86,321.69,314.55,320.94,320.94,"2,072,600"
27-Feb-24,323.4,329.09,320.71,321.21,321.21,"2,790,400"
26-Feb-24,313.16,323.31,309.49,321.03,321.03,"3,884,900"
23-Feb-24,313.78,317,308.58,311.49,311.49,"2,965,200"
22-Feb-24,304.93,313.66,297,310.91,310.91,"4,797,900"
21-Feb-24,283.03,294.6,273.16,292.36,292.36,"9,067,400"
20-Feb-24,327,327,315.07,323.71,323.71,"4,136,700"
16-Feb-24,331.79,332.37,325.13,329.24,329.24,"2,120,600"
15-Feb-24,337.5,338.45,327.11,331.38,331.38,"2,919,900"
14-Feb-24,327.76,334.9,326.56,334.55,334.55,"2,394,900"
13-Feb-24,307.54,326.34,302,322.44,322.44,"4,531,400"
12-Feb-24,329.7,330.67,320.63,321.29,321.29,"3,414,100"
9-Feb-24,330,336.99,326.43,329.34,329.34,"3,870,000"
8-Feb-24,316.71,323.93,314.03,323.04,323.04,"2,531,100"
7-Feb-24,307.73,321.07,306.71,317.78,317.78,"4,017,400"
6-Feb-24,305.37,307.77,295.31,302.11,302.11,"2,087,600"
5-Feb-24,305,307.77,295.57,302.49,302.49,"2,481,300"
2-Feb-24,299.75,305.21,296.71,303.57,303.57,"2,371,600"
1-Feb-24,296.14,299.9,294.17,299.37,299.37,"1,853,600"
31-Jan-24,298,300.11,290.89,292.5,292.5,"2,494,100"
30-Jan-24,301,302.61,298.4,301.35,301.35,"2,147,400"
29-Jan-24,294,300.7,293.75,300.67,300.67,"3,131,500"
26-Jan-24,290.49,293.75,286.75,290.31,290.31,"2,811,500"
25-Jan-24,305.61,306.3,290.79,293.46,293.46,"4,332,900"
24-Jan-24,300.58,307.55,298.54,300.28,300.28,"4,454,200"
23-Jan-24,298.17,299.7,291.7,297.27,297.27,"2,989,300"
22-Jan-24,300.48,302,295.37,298.66,298.66,"4,229,400"
19-Jan-24,285,290.85,283.8,290.54,290.54,"3,004,200"
18-Jan-24,281.67,284.46,279.17,283.11,283.11,"2,705,900"
17-Jan-24,279.54,283.23,272.8,276.27,276.27,"4,419,700"
16-Jan-24,279.39,287.2,279.06,286.29,286.29,"2,690,800"
12-Jan-24,287,290.33,282.51,283.35,283.35,"2,532,700"
11-Jan-24,284,287.76,280.35,284.52,284.52,"3,460,700"
10-Jan-24,274.87,282.32,274.87,282.04,282.04,"4,674,000"
9-Jan-24,265.7,276.56,264.99,273.77,273.77,"6,066,900"
8-Jan-24,251.9,261.64,251.56,261.28,261.28,"4,009,200"
5-Jan-24,245,249.48,244.65,247.46,247.46,"2,405,900"
4-Jan-24,246,247.61,243.64,245.65,245.65,"2,103,000"
3-Jan-24,240.32,248.83,238.61,244.36,244.36,"3,157,600"
2-Jan-24,251.47,252.29,243.03,246.89,246.89,"3,756,800"
29-Dec-23,255.83,257.18,251.88,255.32,255.32,"1,856,700"
28-Dec-23,257.41,257.42,255.11,256.13,256.13,"1,025,600"
27-Dec-23,258.27,259.54,255.73,257.32,257.32,"1,553,000"
26-Dec-23,254.83,258.24,253.58,257.87,257.87,"1,814,400"
22-Dec-23,256.97,256.97,253.76,255.63,255.63,"1,801,400"
21-Dec-23,254.25,257.71,250.61,257.32,257.32,"3,178,000"
20-Dec-23,255.9,259.57,253.63,253.95,253.95,"2,247,800"
19-Dec-23,260.12,260.77,256.24,258.33,258.33,"2,783,000"
18-Dec-23,260.17,261.81,257.34,259.8,259.8,"2,846,800"
15-Dec-23,256.6,260.77,254.02,260.08,260.08,"6,011,400"
14-Dec-23,253.82,257.37,247.87,252.68,252.68,"3,820,100"
13-Dec-23,249.75,253.3,247.18,252.04,252.04,"2,648,300"
12-Dec-23,244.64,250.29,243.27,248.55,248.55,"2,977,200"
11-Dec-23,242.63,249.28,241.39,246.97,246.97,"2,774,100"
8-Dec-23,238.34,243.49,237.63,242.55,242.55,"1,885,600"
7-Dec-23,239.63,240.71,234.24,240.17,240.17,"2,477,500"
6-Dec-23,240,244.64,237.79,239.42,239.42,"3,759,700"
5-Dec-23,233.96,239.07,233.33,238.97,238.97,"2,576,400"
4-Dec-23,234.08,237.85,230.91,237.39,237.39,"3,448,500"
1-Dec-23,235.72,236.65,229.8,235.03,235.03,"3,867,300"
30-Nov-23,231.19,238.48,229.19,236.99,236.99,"7,425,800"
29-Nov-23,220,235.63,218.83,234.44,234.44,"12,996,500"
28-Nov-23,208.93,214.71,207.22,212.35,212.35,"7,147,600"
27-Nov-23,209.62,213.14,207.57,210.07,210.07,"4,012,500"
24-Nov-23,208.86,212.86,207.68,210.66,210.66,"1,658,000"
22-Nov-23,209.9,210.65,206.55,209.61,209.61,"2,199,900"
21-Nov-23,207.74,209.32,205.85,208.98,208.98,"2,277,100"
20-Nov-23,208,209.03,206.07,207.73,207.73,"2,229,600"
17-Nov-23,204.27,207.91,203.04,207.09,207.09,"1,857,500"
16-Nov-23,200.33,207.11,198.86,204.27,204.27,"3,013,500"
15-Nov-23,208.71,210.09,202.67,204.29,204.29,"3,693,500"
14-Nov-23,205,209.07,203.5,207.97,207.97,"3,736,500"
13-Nov-23,198,201.55,197.17,200.96,200.96,"3,085,900"
10-Nov-23,192.37,196.95,190.2,196.31,196.31,"2,041,500"
9-Nov-23,193.44,194.18,189.12,190.76,190.76,"2,459,100"
8-Nov-23,192.52,194.78,191.21,193.83,193.83,"1,717,600"
7-Nov-23,191.15,194.83,189.45,192.36,192.36,"3,065,800"
6-Nov-23,188.98,189.5,183.6,186.78,186.78,"1,936,600"
3-Nov-23,182.67,188.74,178.35,188.24,188.24,"3,262,100"
2-Nov-23,180.89,184.67,179.71,182.8,182.8,"3,352,200"
